,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
0,LP001002,Male,No,0,Graduate,No,Urban,Y,5849,0.0,146.41216216216216,360.0,1.0
1,LP001003,Male,Yes,1,Graduate,No,Rural,N,4583,1508.0,128.0,360.0,1.0
2,LP001005,Male,Yes,0,Graduate,Yes,Urban,Y,3000,0.0,66.0,360.0,1.0
3,LP001006,Male,Yes,0,Not Graduate,No,Urban,Y,2583,2358.0,120.0,360.0,1.0
4,LP001008,Male,No,0,Graduate,No,Urban,Y,6000,0.0,141.0,360.0,1.0
5,LP001011,Male,Yes,2,Graduate,Yes,Urban,Y,5417,4196.0,267.0,360.0,1.0
6,LP001013,Male,Yes,0,Not Graduate,No,Urban,Y,2333,1516.0,95.0,360.0,1.0
7,LP001014,Male,Yes,3+,Graduate,No,Semiurban,N,3036,2504.0,158.0,360.0,0.0
8,LP001018,Male,Yes,2,Graduate,No,Urban,Y,4006,1526.0,168.0,360.0,1.0
9,LP001020,Male,Yes,1,Graduate,No,Semiurban,N,12841,10968.0,349.0,360.0,1.0
10,LP001024,Male,Yes,2,Graduate,No,Urban,Y,3200,700.0,70.0,360.0,1.0
11,LP001027,Male,Yes,2,Graduate,No,Urban,Y,2500,1840.0,109.0,360.0,1.0
12,LP001028,Male,Yes,2,Graduate,No,Urban,Y,3073,8106.0,200.0,360.0,1.0
13,LP001029,Male,No,0,Graduate,No,Rural,N,1853,2840.0,114.0,360.0,1.0
14,LP001030,Male,Yes,2,Graduate,No,Urban,Y,1299,1086.0,17.0,120.0,1.0
15,LP001032,Male,No,0,Graduate,No,Urban,Y,4950,0.0,125.0,360.0,1.0
16,LP001034,Male,No,1,Not Graduate,No,Urban,Y,3596,0.0,100.0,240.0,0.8421985815602837
17,LP001036,Female,No,0,Graduate,No,Urban,N,3510,0.0,76.0,360.0,0.0
18,LP001038,Male,Yes,0,Not Graduate,No,Rural,N,4887,0.0,133.0,360.0,1.0
19,LP001041,Male,Yes,0,Graduate,No,Urban,Y,2600,3500.0,115.0,342.0,1.0
20,LP001043,Male,Yes,0,Not Graduate,No,Urban,N,7660,0.0,104.0,360.0,0.0
21,LP001046,Male,Yes,1,Graduate,No,Urban,Y,5955,5625.0,315.0,360.0,1.0
22,LP001047,Male,Yes,0,Not Graduate,No,Semiurban,N,2600,1911.0,116.0,360.0,0.0
23,LP001050,Male,Yes,2,Not Graduate,No,Rural,N,3365,1917.0,112.0,360.0,0.0
